AREA (KM2)	VOLUME (HM3)	VOLUME (M3)	Afluência (m³/s)	Defluência (m³/s)
125.4243788	5416.491574	5416491574	1256.15	658
125.1043674	5399.638042	5399638042	1009.63	1230
124.7166024	5379.222261	5379222261	802.41	1070
124.671042	5376.82395	5376823950	721.52	753
124.1252878	5348.102382	5348102382	613.22	991
123.8530811	5333.781823	5333781823	598.11	787
124.3070071	5357.664313	5357664313	825.81	511
125.5159228	5421.313599	5421313599	1355.26	521
125.2871563	5409.264146	5409264146	1422.59	1580
125.2185871	5405.652955	5405652955	1472.78	1520
125.3100189	5410.468249	5410468249	1482.96	1420
125.4243788	5416.491574	5416491574	1438.7	1360
125.4930322	5420.107812	5420107812	1437.22	1390
125.4930322	5420.107812	5420107812	1420	1420
125.3328847	5411.67254	5411672540	1439.81	1550
125.3786255	5414.081683	5414081683	1451.48	1420
125.3100189	5410.468249	5410468249	1472.78	1520
125.1500459	5402.043447	5402043447	1469.81	1580
125.0587013	5397.233385	5397233385	1507.04	1570
125.0815328	5398.43562	5398435620	1505.74	1490
125.1500459	5402.043447	5402043447	1507.22	1460
125.5617135	5423.725734	5423725734	1483.33	1200
125.6075167	5426.138618	5426138618	1391.48	1360
125.5846136	5424.932083	5424932083	1338.52	1370
125.6075167	5426.138618	5426138618	1265.74	1250
125.5617135	5423.725734	5423725734	1134.26	1150
125.5617135	5423.725734	5423725734	973	973
125.5846136	5424.932083	5424932083	968	968
125.5617135	5423.725734	5423725734	1024.26	1040
125.4015006	5415.286535	5415286535	857.81	968
125.1957369	5404.449599	5404449599	715.33	857
124.8761614	5387.622225	5387622225	671.63	892
124.443427	5364.843585	5364843585	596.93	896
123.7850992	5330.205869	5330205869	563.52	1020
123.2874173	5304.033311	5304033311	551.75	897
123.8984179	5336.166722	5336166722	586.96	163
123.3325992	5306.40892	5306408920	487.83	881
122.5212172	5263.761456	5263761456	476.41	1030
121.7362082	5222.528634	5222528634	437.69	976
120.7324492	5169.847146	5169847146	407.36	1090
119.8454332	5123.331824	5123331824	398.83	992
118.9193306	5074.806356	5074806356	354.08	977
118.7874694	5067.900476	5067900476	391.85	479
118.5898832	5057.553978	5057553978	602.79	733
118.5021462	5052.960279	5052960279	711.13	769
118.5679444	5056.40528	5056405280	675.4	632
118.5898832	5057.553978	5057553978	682.47	668
118.3925435	5047.222259	5047222259	638.79	769
118.2173373	5038.050906	5038050906	622.26	738
118.8094387	5069.050999	5069050999	643.62	253
118.7215799	5064.450001	5064450001	599.13	657
118.4802196	5051.812311	5051812311	569.86	729
118.1079321	5032.324731	5032324731	556.05	802
117.4530954	4998.063227	4998063227	457.97	892
116.7792965	4962.831428	4962831428	443.5	892
116.3893922	4942.45419	4942454190	423.79	679
116.1084031	4927.773758	4927773758	410.44	594
115.3544259	4888.401236	4888401236	365.79	860
114.5827502	4848.134079	4848134079	349.67	858
113.559893	4794.806617	4794806617	332.54	994
112.5439188	4741.891439	4741891439	307.89	969
111.5976704	4692.656422	4692656422	316.1	922
110.8032929	4651.360232	4651360232	283.81	794
110.0546621	4612.473271	4612473271	281.53	760
109.5370275	4585.603012	4585603012	565.03	892
109.5163604	4584.530492	4584530492	938.92	952
109.5370275	4585.603012	4585603012	929.08	916
109.6404072	4590.968253	4590968253	843.39	778
110.0961524	4614.627653	4614627653	907.73	620
